,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
301,869,2026-04,9.49,4.77,4.18,11.75,2.83,2.92,2026-04-01,2026-04-30,0.12362525458248472,-1.4177640808313898,baixo
302,870,2026-04,9.08,8.26,2.3,8.5,1.75,1.33,2026-04-01,2026-04-30,0.139867617107943,-1.3567459019612855,baixo
303,871,2026-04,9.08,8.26,2.73,8.5,1.75,2.58,2026-04-01,2026-04-30,0.14872708757637476,-1.3234632589412285,baixo
304,872,2026-04,5.37,12.79,1.95,1.5,0.58,1.67,2026-04-01,2026-04-30,0.16822810590631368,-1.250203188385586,baixo
305,878,2026-04,98.59,9.42,6.61,96.92,19.92,5.83,2026-04-01,2026-04-30,0.3782077393075356,-0.46136629289872,medio
306,880,2026-04,86.53,6.13,5.88,83.75,18.92,6.58,2026-04-01,2026-04-30,0.2845213849287169,-0.8133206788579423,baixo
307,881,2026-04,96.82,10.62,12.21,99.08,22.83,6.75,2026-04-01,2026-04-30,0.46547861507128313,-0.13351313119540045,medio
308,883,2026-04,24.53,10.88,11.9,24.5,10.25,11.33,2026-04-01,2026-04-30,0.39541751527494906,-0.39671380243447146,medio
309,884,2026-04,13.14,7.42,3.34,13.25,3.42,3.33,2026-04-01,2026-04-30,0.18727087576374746,-1.1786646338482223,baixo
310,885,2026-04,9.08,8.26,2.76,8.5,1.75,2.67,2026-04-01,2026-04-30,0.15025458248472506,-1.3177248722136325,baixo
311,892,2026-04,7.12,4.09,2.3,7.0,1.17,1.17,2026-04-01,2026-04-30,0.04633401221995927,-1.7081264492477484,baixo
312,893,2026-04,16.98,6.69,7.37,18.75,4.0,4.33,2026-04-01,2026-04-30,0.25972505091649695,-0.9064738234025844,baixo
313,894,2026-04,9.49,4.77,3.25,11.75,2.83,2.08,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
314,895,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
315,897,2026-04,9.08,8.26,5.17,8.5,1.75,3.83,2026-04-01,2026-04-30,0.20829938900203665,-1.0996661765649838,baixo
316,898,2026-04,17.61,8.9,8.39,20.25,4.58,5.67,2026-04-01,2026-04-30,0.32454175152749487,-0.6629749465949268,baixo
317,899,2026-04,66.59,6.11,4.58,64.58,15.25,4.58,2026-04-01,2026-04-30,0.235132382892057,-0.9988618497168804,baixo
